,complex_nm,trains,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17
108,Bay Ridge Av,R,2522369.0,2525470.0,2597559.0,2623309.0,2622438.0,1282256.0,6892.0,6990.0,7301.0,7164.0,10955.0,9328,9107.0,8457.0,8808.0,8609.0,11631.0,10537
109,Bay Ridge-95 St,R,1809829.0,1830193.0,1858200.0,1865038.0,1853049.0,1755379.0,8206.0,8079.0,8283.0,8379.0,8415.0,4173,8618.0,8590.0,8967.0,9001.0,8719.0,4005
110,Bedford Av,L,8342397.0,9214395.0,9892516.0,9388289.0,9688560.0,9644831.0,5996.0,5974.0,6051.0,6101.0,6090.0,5969,5700.0,5692.0,5837.0,5730.0,5510.0,4361
111,Bedford-Nostrand Avs,G,2138852.0,2348998.0,2513681.0,2634066.0,2697942.0,2779124.0,23825.0,25755.0,27224.0,27132.0,27486.0,27783,43891.0,49553.0,54863.0,45740.0,49479.0,48007
112,Bergen St,2 3,1397036.0,1296199.0,1236513.0,1210571.0,1231084.0,1180684.0,6755.0,7300.0,7778.0,8197.0,8487.0,8741,8239.0,9008.0,9798.0,10057.0,9815.0,10274
113,Bergen St,F G,3529174.0,3650848.0,3711317.0,3708300.0,3599389.0,3525144.0,4472.0,4070.0,3923.0,3823.0,3884.0,3853,5126.0,4825.0,4381.0,4384.0,4433.0,3729
114,Beverley Rd,Q,950243.0,737652.0,838970.0,899663.0,953903.0,1038252.0,11370.0,11562.0,11570.0,11548.0,11529.0,11306,12573.0,13031.0,14118.0,14243.0,12161.0,12047
115,Beverly Rd,2 5,1274789.0,1364573.0,1360719.0,1392643.0,1379958.0,1348244.0,3096.0,2340.0,2690.0,2894.0,3059.0,3267,3198.0,2561.0,2787.0,2967.0,3183.0,3811
116,Brighton Beach,B Q,3781554.0,3810743.0,3872092.0,4014831.0,4044514.0,3957811.0,4199.0,4375.0,4447.0,4457.0,4464.0,4384,4061.0,4569.0,4176.0,4699.0,4376.0,4268
117,Broadway,G,1023397.0,1071877.0,1124407.0,1313362.0,1397227.0,1385797.0,12376.0,12185.0,12498.0,12794.0,13035.0,12587,12461.0,12912.0,12524.0,13763.0,13137.0,13830
118,Broadway Junction,A C J L Z,2862830.0,2948156.0,3018656.0,3133658.0,3085401.0,2911532.0,3272.0,3368.0,3500.0,4011.0,4340.0,4452,3737.0,3905.0,4261.0,5368.0,5292.0,4592
119,Bushwick Av-Aberdeen St,L,427032.0,490042.0,563577.0,598393.0,672880.0,682086.0,8790.0,8863.0,9149.0,9251.0,9189.0,8681,12206.0,12707.0,12553.0,14361.0,13638.0,12960
120,Canarsie-Rockaway Pkwy,L,3920243.0,4062690.0,4175970.0,4024313.0,3897784.0,3828628.0,1371.0,1509.0,1683.0,1874.0,2105.0,2112,1533.0,1945.0,2477.0,2198.0,2470.0,2683
121,Carroll St,F G,3961111.0,3782675.0,3616947.0,3672702.0,3563150.0,3537661.0,13039.0,13254.0,13512.0,13481.0,13131.0,12661,12063.0,12617.0,13478.0,10709.0,9961.0,11231
122,Central Av,M,992142.0,505757.0,970531.0,1141731.0,1158274.0,539681.0,13193.0,12339.0,11744.0,11923.0,11848.0,11723,12155.0,11838.0,11587.0,11821.0,10034.0,10389
123,Chauncey St,J Z,964735.0,938803.0,959091.0,1045698.0,1092483.0,1095638.0,3445.0,1744.0,3282.0,3715.0,3884.0,1929,2387.0,1082.0,2472.0,3596.0,3080.0,845
124,Church Av,2 5,2987887.0,3059215.0,3020066.0,3070551.0,3027658.0,2916680.0,3037.0,2967.0,3050.0,3200.0,3360.0,3408,3751.0,3323.0,3345.0,4231.0,4309.0,4194
125,Church Av,B Q,4982615.0,5603898.0,5482093.0,5707573.0,5438775.0,5455527.0,9851.0,9794.0,9852.0,9864.0,9808.0,9512,9543.0,10381.0,9375.0,10219.0,9569.0,9141
126,Church Av,F G,3081142.0,3193844.0,3201585.0,3353795.0,3315387.0,3148411.0,16042.0,17638.0,17473.0,17811.0,17482.0,17186,17733.0,20399.0,18797.0,21472.0,18017.0,19961
127,Clark St,2 3,1855650.0,1972314.0,2018876.0,1997148.0,2000024.0,1631139.0,9985.0,9984.0,9954.0,10490.0,10151.0,9697,10593.0,11927.0,12224.0,12511.0,13332.0,12592
128,Classon Av,G,1355886.0,1432872.0,1477256.0,1604508.0,1581663.0,1585121.0,5760.0,5971.0,6083.0,5922.0,5903.0,5635,7615.0,8326.0,8599.0,9018.0,9083.0,3708
129,Cleveland St,J,1029708.0,1050261.0,1107397.0,1120403.0,1104683.0,1011734.0,4288.0,4490.0,4601.0,4966.0,4996.0,5106,5178.0,5308.0,5606.0,6265.0,5645.0,5290
130,Clinton-Washington Avs,C,1891559.0,2104035.0,2077312.0,2060200.0,2152345.0,2201880.0,3271.0,3328.0,3467.0,3514.0,3483.0,3270,3856.0,3699.0,4104.0,4119.0,3945.0,3296
131,Clinton-Washington Avs,G,1637463.0,1678004.0,1652336.0,1716023.0,1656058.0,1551042.0,6033.0,6642.0,6719.0,6603.0,6932.0,7130,7056.0,7642.0,6753.0,7011.0,7119.0,7224
132,Coney Island-Stillwell Av,D F N Q,4733106.0,4690794.0,4980140.0,5132083.0,5025598.0,4803755.0,5183.0,5294.0,5178.0,5364.0,5312.0,5083,6301.0,6097.0,6170.0,6501.0,5585.0,4806
133,Cortelyou Rd,Q,1992781.0,1700177.0,1806758.0,1961144.0,1978254.0,2028859.0,13474.0,13177.0,13734.0,14073.0,14098.0,13542,23981.0,23726.0,26733.0,27415.0,25961.0,24556
134,Court St /Borough Hall,R 2 3 4 5,10988473.0,11291705.0,11474717.0,11360058.0,11080334.0,10693598.0,6379.0,5318.0,5727.0,6220.0,6332.0,6348,7241.0,6294.0,6328.0,6892.0,6666.0,7610
135,Crescent St,J Z,1504645.0,1509290.0,1583134.0,1626727.0,1617730.0,1570485.0,38088.0,38428.0,38944.0,38559.0,38089.0,36762,27299.0,28081.0,28947.0,28593.0,25365.0,25259
136,Crown Heights-Utica Av,3 4,8469613.0,8534705.0,8690082.0,8965908.0,9051970.0,8954499.0,4635.0,4683.0,4925.0,5073.0,5053.0,4842,6335.0,5804.0,6020.0,6122.0,5999.0,6243
137,Cypress Hills,J,411495.0,432557.0,450480.0,452936.0,462143.0,435855.0,27549.0,27780.0,28287.0,28146.0,29069.0,28980,28918.0,26704.0,27343.0,33065.0,29939.0,29038
138,DeKalb Av,B Q R,5222096.0,5223608.0,5288037.0,5373388.0,5640329.0,6551184.0,1391.0,1431.0,1444.0,1456.0,1501.0,1501,1148.0,1236.0,1517.0,1503.0,1447.0,973
139,DeKalb Av,L,3495896.0,3712102.0,3924836.0,3938538.0,4017076.0,4171610.0,17791.0,17318.0,17350.0,17889.0,18774.0,21230,14327.0,15046.0,16016.0,15096.0,15729.0,21434
140,Ditmas Av,F,1404811.0,1455737.0,1437835.0,1033946.0,1055185.0,1137998.0,11004.0,11617.0,11943.0,12158.0,12307.0,13050,13534.0,13823.0,16197.0,15430.0,16098.0,15805
141,East 105 St,L,1110433.0,1161688.0,1197125.0,1187844.0,1201578.0,1201452.0,4669.0,4676.0,4622.0,3386.0,3524.0,3849,4260.0,4813.0,4728.0,3113.0,2789.0,2851
142,Eastern Pkwy-Brooklyn Museum,2 3,1578613.0,1674856.0,1665524.0,1676659.0,1585048.0,1530635.0,3727.0,3818.0,3911.0,4002.0,4070.0,3999,3256.0,3466.0,3679.0,3041.0,2961.0,3393
143,Euclid Av,A C,3115445.0,3323235.0,3315007.0,3509500.0,3458027.0,3415739.0,4795.0,4938.0,4889.0,4915.0,4719.0,4592,7038.0,7794.0,7835.0,7943.0,7107.0,6810
144,Flatbush Av-Brooklyn College,2 5,6384496.0,6562226.0,6447908.0,6487608.0,6321530.0,6107780.0,10169.0,10418.0,10652.0,11014.0,10870.0,10751,10455.0,12329.0,11016.0,12954.0,12563.0,12594
145,Flushing Av,G,655317.0,728668.0,808421.0,866803.0,877269.0,849840.0,21942.0,21941.0,21865.0,21666.0,21268.0,20691,16452.0,17982.0,16274.0,17805.0,16443.0,15653
146,Flushing Av,J M,2776360.0,2869903.0,2847691.0,2991074.0,2894033.0,2764583.0,2157.0,2373.0,2627.0,2819.0,2857.0,2866,2091.0,2256.0,2529.0,2716.0,2700.0,2182
147,Fort Hamilton Pkwy,D,1025285.0,1240644.0,1317172.0,1297755.0,1349733.0,1273516.0,8963.0,9165.0,9258.0,9483.0,9347.0,8952,9803.0,9788.0,9012.0,10573.0,9328.0,8914
148,Fort Hamilton Pkwy,F G,1538039.0,1688093.0,1729381.0,1792239.0,1845401.0,1786458.0,3403.0,3984.0,4248.0,4260.0,4420.0,4162,3145.0,4101.0,4258.0,3832.0,4002.0,3884
149,Fort Hamilton Pkwy,N,2105486.0,2200487.0,2278120.0,2164028.0,554051.0,988664.0,5092.0,5531.0,5650.0,5783.0,6044.0,5893,4843.0,5153.0,5345.0,5908.0,5608.0,5347
150,Franklin Av /Botanic Garden,2 3 4 5 S,4934593.0,5125782.0,5377967.0,5100038.0,5010984.0,4762184.0,6786.0,7034.0,7244.0,6964.0,1771.0,3196,7419.0,7454.0,7885.0,7072.0,1809.0,3201
151,Franklin Av,C S,1982691.0,2049246.0,2125076.0,2137752.0,2056281.0,2058258.0,15352.0,15775.0,15787.0,15866.0,15834.0,15269,19949.0,20269.0,24479.0,19326.0,17730.0,16077
152,Fulton St,G,1280063.0,1394890.0,1485669.0,1643353.0,1639930.0,1698778.0,6111.0,6227.0,6492.0,6468.0,6289.0,6333,8279.0,8478.0,8633.0,8996.0,8274.0,8229
153,Gates Av,J Z,1901060.0,1895878.0,1984486.0,2100864.0,2117787.0,2262915.0,3956.0,4266.0,4502.0,4954.0,5096.0,5364,5363.0,5702.0,6274.0,7089.0,6288.0,6198
154,Graham Av,L,3086342.0,3179579.0,3402514.0,3293413.0,3324292.0,3299951.0,5964.0,5999.0,6277.0,6521.0,6602.0,7110,7464.0,6685.0,7100.0,8053.0,7937.0,8358
155,Grand Army Plaza,2 3,2507555.0,2556750.0,2505721.0,2433907.0,2425948.0,2265097.0,9889.0,10136.0,10643.0,10504.0,10483.0,10536,11215.0,11089.0,12774.0,11396.0,11996.0,11572
156,Grand St,L,2145374.0,2260023.0,2414872.0,2242757.0,2174128.0,2256349.0,8068.0,8066.0,7971.0,7731.0,7735.0,7452,8908.0,9159.0,8638.0,8420.0,8216.0,6746
157,Grant Av,A,1952581.0,1958503.0,2041848.0,2084651.0,2170567.0,1950109.0,7171.0,7444.0,7824.0,7307.0,6977.0,7317,6449.0,6672.0,7787.0,7030.0,7256.0,7369
158,Greenpoint Av,G,2521422.0,2543568.0,2428027.0,2902723.0,2951454.0,2934770.0,6290.0,6270.0,6475.0,6696.0,7044.0,6318,6929.0,6593.0,7169.0,6901.0,6795.0,6290
159,Halsey St,J,1800505.0,1845755.0,1968526.0,2083683.0,2101350.0,2131177.0,8212.0,8461.0,7819.0,9191.0,9413.0,9648,8545.0,7076.0,8050.0,10364.0,10109.0,8807
160,Halsey St,L,2136529.0,2317512.0,2492974.0,2465693.0,2629576.0,2776078.0,5650.0,5805.0,6174.0,6410.0,6490.0,6616,7075.0,6683.0,7284.0,8262.0,8150.0,8226
161,Hewes St,J M,895661.0,927212.0,903641.0,981379.0,913179.0,894671.0,6904.0,7308.0,7720.0,7932.0,8426.0,8781,7458.0,8382.0,9661.0,8087.0,8731.0,10054
162,High St,A C,2209212.0,2441136.0,2687244.0,2656705.0,2536059.0,2983672.0,2811.0,2859.0,2859.0,2992.0,2866.0,2861,3528.0,3627.0,3222.0,4042.0,3291.0,3048
163,Hoyt St,2 3,1978582.0,2033085.0,2181465.0,2249892.0,2356001.0,2137478.0,7050.0,7543.0,8174.0,8479.0,8701.0,9215,8106.0,9518.0,11042.0,8840.0,5437.0,11529
164,Hoyt-Schermerhorn Sts,A C G,2990881.0,2971379.0,2961316.0,3038302.0,3082398.0,3264293.0,6710.0,6657.0,7138.0,7342.0,7615.0,7637,5562.0,6272.0,6708.0,7043.0,7619.0,3666
165,Jay St-MetroTech,A C F R,11492780.0,11793956.0,12197352.0,12765132.0,13091255.0,13007176.0,9928.0,9604.0,9672.0,9818.0,9894.0,10319,9428.0,9754.0,9182.0,9961.0,10339.0,11877
166,Jefferson St,L,1906878.0,2136772.0,2425983.0,2514292.0,2563505.0,2566772.0,39561.0,40183.0,41405.0,43456.0,44267.0,43833,29899.0,29107.0,30650.0,31485.0,33452.0,34871
167,Junius St,3,660013.0,690625.0,727369.0,928235.0,681935.0,298119.0,5951.0,6612.0,7230.0,7565.0,7639.0,7807,7613.0,8282.0,10724.0,10807.0,11286.0,10753
168,Kings Hwy,B Q,5453084.0,5697467.0,5693562.0,5905481.0,6014920.0,6040256.0,2204.0,2206.0,2361.0,3043.0,2230.0,970,1948.0,2337.0,2293.0,2747.0,2053.0,934
169,Kings Hwy,F,1117098.0,1134042.0,1137784.0,1202640.0,1398753.0,1531332.0,18422.0,18799.0,19010.0,19500.0,20094.0,19975,15484.0,16687.0,15539.0,17206.0,16302.0,17673
170,Kings Hwy,N,1616827.0,1630749.0,1687226.0,1710115.0,475763.0,910558.0,3681.0,3655.0,3616.0,3726.0,4637.0,5186,3563.0,3706.0,3967.0,4694.0,3903.0,3844
171,Kingston Av,3,1515277.0,1545567.0,1564089.0,1573003.0,1560437.0,1474988.0,5104.0,5154.0,5344.0,5482.0,1489.0,2891,6212.0,5818.0,5945.0,5696.0,1712.0,3205
172,Kingston-Throop Avs,C,1703474.0,1834623.0,1887628.0,1992480.0,2031710.0,2085536.0,4929.0,4949.0,5017.0,4999.0,4977.0,4703,5052.0,5126.0,5189.0,5430.0,5219.0,5057
173,Knickerbocker Av,M,702426.0,1018286.0,1147331.0,1288025.0,1288438.0,593366.0,5331.0,5678.0,5968.0,6210.0,6350.0,6564,6750.0,7120.0,6701.0,7536.0,7544.0,7644
174,Kosciuszko St,J,1482044.0,1515244.0,1521002.0,1593719.0,1661644.0,1979192.0,2350.0,3429.0,3806.0,4104.0,4228.0,2077,2115.0,2598.0,3274.0,4468.0,3846.0,1121
175,Lafayette Av,C,1582360.0,1638947.0,1617464.0,1631737.0,1639947.0,1621121.0,4592.0,4751.0,4761.0,4927.0,5118.0,6143,6072.0,5546.0,5663.0,6200.0,6517.0,7671
176,Liberty Av,C,796044.0,810031.0,807678.0,858554.0,920826.0,886011.0,4774.0,4825.0,4857.0,4849.0,4888.0,4843,7164.0,7577.0,7002.0,7329.0,7245.0,7201
177,Livonia Av,L,902860.0,934287.0,987560.0,1001522.0,1045593.0,1019591.0,2632.0,2658.0,2639.0,2780.0,3020.0,2933,2536.0,2449.0,2488.0,2773.0,2765.0,2588
178,Lorimer St,J M,1494085.0,1523986.0,1500980.0,1614154.0,1595826.0,1619602.0,2908.0,2959.0,3078.0,3269.0,3418.0,3264,3198.0,3288.0,3715.0,3039.0,3126.0,3461
179,Lorimer St /Metropolitan Av,L G,4643512.0,5040719.0,5090344.0,5238736.0,5156893.0,5010601.0,4779.0,4796.0,4836.0,5070.0,5138.0,5161,5463.0,5503.0,4933.0,5920.0,5194.0,5583
180,Marcy Av,J M Z,3564065.0,3681903.0,3953628.0,4204877.0,4272443.0,4199041.0,13344.0,14004.0,14573.0,15131.0,15082.0,14752,24022.0,27339.0,25444.0,25640.0,24167.0,23285
181,Montrose Av,L,2075901.0,2178772.0,2335128.0,2334271.0,2338095.0,2306046.0,11591.0,11775.0,12547.0,13276.0,13815.0,13377,12181.0,12353.0,13774.0,15165.0,13808.0,14486
182,Morgan Av,L,2262826.0,2373595.0,2513823.0,2453723.0,2614617.0,2594607.0,6452.0,6731.0,6961.0,7025.0,7007.0,7021,8430.0,8525.0,10343.0,10039.0,10119.0,9644
183,Myrtle Av,J M Z,3257338.0,3562631.0,3523740.0,3687468.0,3764562.0,4213096.0,6821.0,7126.0,7298.0,7221.0,7592.0,7769,10151.0,10289.0,12074.0,11294.0,12480.0,11465
184,Myrtle-Willoughby Avs,G,1440313.0,1578243.0,1722392.0,1875988.0,1887369.0,1765653.0,10098.0,10876.0,11048.0,11424.0,11801.0,13222,13372.0,14546.0,13088.0,14285.0,13814.0,15648
185,Myrtle-Wyckoff Avs,L M,5662633.0,5982615.0,6381800.0,6464630.0,6531453.0,7302376.0,4581.0,4916.0,5330.0,5783.0,5889.0,5743,5353.0,5968.0,6669.0,7382.0,7043.0,5547
186,Nassau Av,G,2479649.0,2653526.0,2760220.0,2916005.0,2851899.0,2765172.0,17537.0,18167.0,19203.0,19490.0,19673.0,22434,23285.0,24951.0,27345.0,27639.0,27784.0,29498
187,Neck Rd,Q,1148708.0,1218313.0,1232947.0,1305776.0,1336596.0,1379473.0,8096.0,8435.0,8765.0,9066.0,9150.0,9105,8344.0,9304.0,9747.0,11249.0,9560.0,8243
188,Neptune Av,F,505076.0,523554.0,512828.0,531011.0,513566.0,478754.0,3834.0,3941.0,4033.0,4207.0,4354.0,4441,3460.0,3922.0,3758.0,4290.0,4119.0,4594
189,Nevins St,2 3 4 5,3454621.0,3477861.0,3580156.0,3310625.0,3220745.0,3271270.0,1705.0,1749.0,1698.0,1807.0,1742.0,1658,1440.0,1434.0,1485.0,1282.0,1254.0,1039
190,New Lots Av,3,1857630.0,1975478.0,2038532.0,2155220.0,2065205.0,1810576.0,11653.0,11468.0,11752.0,10896.0,10716.0,10699,10022.0,10342.0,10877.0,9902.0,8999.0,10231
191,New Lots Av,L,1379065.0,1499902.0,1583983.0,1595607.0,1645273.0,1638839.0,6214.0,6349.0,6626.0,7133.0,6855.0,6087,5436.0,6510.0,6407.0,6055.0,5686.0,4803
192,New Utrecht Av /62 St,N D,1931306.0,1654945.0,1716638.0,1857740.0,1784812.0,1651274.0,4475.0,4785.0,5005.0,5244.0,5431.0,5290,4744.0,5145.0,5651.0,4697.0,4706.0,5387
193,Newkirk Av,2 5,2279365.0,2393978.0,2431300.0,2476287.0,2395551.0,2315386.0,5883.0,5159.0,5270.0,5551.0,5602.0,5217,8504.0,6243.0,6881.0,8226.0,6504.0,5972
194,Newkirk Plaza,B Q,3021079.0,3380559.0,3302958.0,3432907.0,3315748.0,3356199.0,7604.0,7757.0,8015.0,8035.0,7840.0,7600,6854.0,7661.0,7145.0,7853.0,7192.0,7008
195,Norwood Av,J Z,1097011.0,1095573.0,1145643.0,1159274.0,1146658.0,1065073.0,9890.0,10788.0,10707.0,10864.0,10842.0,10728,10004.0,11613.0,10490.0,12210.0,10122.0,11558
196,Nostrand Av,3,1313227.0,1327377.0,1358826.0,1386067.0,1358853.0,1295175.0,3518.0,3492.0,3603.0,3639.0,3613.0,3437,3957.0,3754.0,4167.0,4249.0,4099.0,3482
197,Nostrand Av,A C,5283444.0,5510841.0,5439806.0,5762163.0,5861658.0,5823419.0,4113.0,4151.0,4268.0,4306.0,4239.0,4066,5192.0,4942.0,4925.0,5241.0,5032.0,4770
198,Ocean Pkwy,Q,983972.0,990091.0,969271.0,1022215.0,1016458.0,1022378.0,16439.0,16843.0,17062.0,17790.0,18231.0,18035,21437.0,22420.0,19979.0,22586.0,22197.0,22803
199,Park Pl,S,682438.0,646934.0,608731.0,602858.0,576122.0,575188.0,3155.0,3141.0,3124.0,3203.0,3211.0,3251,3542.0,3465.0,3167.0,3751.0,3597.0,3548
200,Parkside Av,Q,1812362.0,1381093.0,1617878.0,1692567.0,1783716.0,1953704.0,2201.0,2077.0,1968.0,1922.0,1850.0,1818,2397.0,2148.0,1958.0,2072.0,1903.0,2068
201,Pennsylvania Av,3,1690851.0,1752108.0,1746438.0,2111790.0,753493.0,1054654.0,5729.0,4240.0,4969.0,5266.0,5524.0,5898,6891.0,5426.0,6381.0,6387.0,6844.0,8295
202,President St,2 5,1142008.0,1216019.0,1221048.0,1243976.0,1226582.0,1227134.0,5696.0,5675.0,5718.0,6997.0,2485.0,3503,4783.0,5577.0,5303.0,5902.0,2206.0,3027
203,Prospect Av,R,1864725.0,1826064.0,1827271.0,1785990.0,1758711.0,961733.0,3815.0,3969.0,4092.0,4120.0,4114.0,4113,3395.0,3745.0,3255.0,3520.0,3204.0,3296
204,Prospect Park,B Q S,2892200.0,3190679.0,3312727.0,3327301.0,3272810.0,3421790.0,6147.0,5934.0,5943.0,5896.0,5842.0,3199,6018.0,5806.0,5792.0,5240.0,4944.0,2690
205,Ralph Av,C,1625548.0,1719602.0,1787157.0,1867793.0,1863036.0,1894817.0,9024.0,9761.0,9715.0,10033.0,9995.0,10234,11561.0,12864.0,15404.0,14105.0,13301.0,15104
206,Rockaway Av,3,1682755.0,1753354.0,1763824.0,526505.0,1534978.0,1685468.0,5175.0,5381.0,5570.0,5796.0,5801.0,5936,6042.0,6391.0,6719.0,7162.0,6984.0,7063
207,Rockaway Av,C,1574733.0,1615457.0,1641268.0,1721297.0,1786802.0,1794365.0,5636.0,5632.0,5735.0,1690.0,5122.0,5642,4906.0,5802.0,5536.0,1777.0,4078.0,4590
208,Saratoga Av,3,1676421.0,1777399.0,1791700.0,2442282.0,1208956.0,1702107.0,5089.0,5137.0,5223.0,5443.0,5678.0,5715,5512.0,5616.0,5680.0,6136.0,6188.0,6268
209,Sheepshead Bay,B Q,4148629.0,4205275.0,4201776.0,4296566.0,4322837.0,4297325.0,5697.0,5807.0,5933.0,8148.0,4006.0,5777,4525.0,5451.0,5137.0,6568.0,3373.0,4288
210,Shepherd Av,C,945113.0,988620.0,1027404.0,1059106.0,1059144.0,1038180.0,14083.0,14010.0,14118.0,14304.0,14477.0,14311,11495.0,11712.0,11092.0,11984.0,11562.0,12146
211,Smith-9 Sts,F G,0.0,926087.0,1539209.0,1636221.0,1533167.0,1484326.0,3034.0,3149.0,3263.0,3370.0,3393.0,3337,3405.0,3408.0,3586.0,3669.0,3529.0,3486
212,Sterling St,2 5,1803628.0,1866122.0,1785975.0,1822524.0,1805238.0,1787994.0,0.0,2854.0,4762.0,5084.0,4861.0,4714,0.0,3664.0,6001.0,6299.0,5391.0,5289
213,Sutter Av,L,1383957.0,1449524.0,1499122.0,1453567.0,1435112.0,1394283.0,5899.0,5915.0,5783.0,5802.0,5806.0,5795,5932.0,6567.0,5705.0,6267.0,5869.0,5750
